iter	R2	RMSE
0	0.06958522056	77.24171935
1	0.1322951771	74.59326858
2	0.1797991124	72.52266412
3	0.218937826	70.7711797
4	0.2550825578	69.11426658
5	0.287982751	67.57077335
6	0.3168399439	66.18733044
7	0.3439351369	64.861505
8	0.3652852963	63.79738999
9	0.3858612725	62.75478912
10	0.4035942023	61.84214723
11	0.4186747115	61.05528179
12	0.4322804246	60.3365629
13	0.4437853289	59.72206998
14	0.4546313884	59.13691998
15	0.4646239759	58.59264334
16	0.4736905119	58.0943948
17	0.4830164082	57.57739498
18	0.490836197	57.14028378
19	0.4992865698	56.66413353
20	0.5065016673	56.25439741
21	0.5137734373	55.8384009
22	0.5216607949	55.38365596
23	0.5285403047	54.98394768
24	0.5327041517	54.74060505
25	0.538953688	54.3733271
26	0.5442591713	54.05957175
27	0.5479970698	53.8374222
28	0.5527835665	53.55160714
29	0.5560901418	53.35326812
30	0.5609872886	53.05815935
31	0.5639892664	52.87644179
32	0.5703869135	52.48707645
33	0.574263729	52.24971887
34	0.5778193761	52.03107283
35	0.5817446224	51.78862718
36	0.5849274514	51.59120099
37	0.587325203	51.44197159
38	0.5888999163	51.34372985
39	0.5918294362	51.16046377
40	0.5950269509	50.9596801
41	0.5982256144	50.75802962
42	0.6018495509	50.5285967
43	0.6036361393	50.4151028
44	0.6055612772	50.29252078
45	0.6074295755	50.17327164
46	0.6091063126	50.06600756
47	0.6110396475	49.94204247
48	0.6143823022	49.726983
49	0.6169169066	49.56328976
50	0.6196637425	49.38527728
51	0.6218103353	49.24571645
52	0.6252329833	49.02237106
53	0.6271461715	48.89708118
54	0.6288452905	48.78554038
55	0.6307956265	48.65719293
56	0.6326020733	48.53801177
57	0.6346646482	48.40157362
58	0.6378361594	48.19102633
59	0.6413962095	47.95358384
60	0.6430186503	47.84498202
61	0.6449977946	47.71216873
62	0.6470132928	47.57653483
63	0.649341548	47.41937087
64	0.6506928505	47.32791469
65	0.6524371317	47.20959975
66	0.6536185672	47.12929402
67	0.6549139551	47.04108505
68	0.6570746998	46.8935807
69	0.6588391157	46.77278692
70	0.6607576853	46.64108459
71	0.6623038998	46.53467174
72	0.663152324	46.47617837
73	0.6646303607	46.37410104
74	0.6662852315	46.25954379
75	0.6682660602	46.1220482
76	0.6703003775	45.98041186
77	0.6714072147	45.90316637
78	0.6726266656	45.81791087
79	0.6744844571	45.68772123
80	0.675672989	45.60423678
81	0.6780658806	45.43569081
82	0.6793160074	45.34738761
83	0.6809729126	45.2300858
84	0.6825445312	45.11854009
85	0.6844183591	44.98518357
86	0.6857550099	44.88981478
87	0.6873034371	44.77908198
88	0.6894250959	44.62690949
89	0.6916924698	44.46371013
90	0.6929182575	44.37523135
91	0.6938399222	44.30858815
92	0.6954613189	44.19110522
93	0.6969188573	44.08522789
94	0.6982044234	43.99163133
95	0.6994113048	43.90358188
96	0.7011192568	43.77867361
97	0.7023393352	43.6892265
98	0.7027126219	43.66182328
99	0.703670615	43.59141753
100	0.7049489718	43.49728982
101	0.7060924982	43.41291698
102	0.7062465553	43.40153764
103	0.707681197	43.29542508
104	0.7083795832	43.24367505
105	0.7092707683	43.17754867
106	0.7094791501	43.16207202
107	0.7100605598	43.11886098
108	0.7102338355	43.10597456
109	0.7121546466	42.96286588
110	0.7138751002	42.83427878
111	0.7152599914	42.73049059
112	0.7163023855	42.65220364
113	0.7179542591	42.52784781
114	0.7188479521	42.46041726
115	0.7206474728	42.32431465
116	0.7208547822	42.30860715
117	0.7223853666	42.19245632
118	0.7237615249	42.08775068
119	0.7247971223	42.00878468
120	0.7258371943	41.9293278
121	0.7272133899	41.82396058
122	0.7284665715	41.72778035
123	0.7298762038	41.6193271
124	0.7311953958	41.51757546
125	0.7321924073	41.44050842
126	0.7336386083	41.32846448
127	0.73454577	41.25802714
128	0.7355331079	41.18122753
129	0.7367976304	41.08265756
130	0.7379672365	40.99127536
131	0.7390904712	40.903324
132	0.7404861793	40.79377328
133	0.7416669738	40.70086112
134	0.7427710186	40.61379581
135	0.7439291874	40.52226123
