iter	Passed	Remaining
0	15	15692
1	32	16035
2	53	17936
3	70	17634
4	112	22372
5	143	23730
6	174	24742
7	220	27393
8	244	26885
9	263	26117
10	281	25304
11	328	27031
12	359	27278
13	421	29653
14	453	29768
15	472	29047
16	490	28335
17	510	27852
18	526	27172
19	557	27316
20	588	27429
21	603	26838
22	634	26960
23	650	26436
24	670	26159
25	689	25841
26	707	25488
27	723	25109
28	740	24793
29	772	24972
30	790	24704
31	807	24427
32	838	24580
33	869	24704
34	889	24520
35	908	24324
36	927	24127
37	953	24144
38	1000	24656
39	1031	24764
40	1067	24960
41	1085	24751
42	1102	24527
43	1119	24322
44	1152	24457
45	1184	24560
46	1214	24633
47	1261	25013
48	1285	24947
49	1305	24800
50	1322	24609
51	1349	24600
52	1364	24388
53	1396	24457
54	1426	24515
55	1443	24333
56	1477	24439
57	1498	24331
58	1515	24174
59	1547	24240
60	1577	24284
61	1609	24356
62	1639	24378
63	1654	24200
64	1690	24310
65	1707	24157
66	1725	24032
67	1743	23891
68	1760	23747
69	1779	23636
70	1796	23501
71	1813	23373
72	1831	23263
73	1849	23137
74	1867	23028
75	1885	22919
76	1906	22851
77	1924	22754
78	1941	22636
79	1961	22559
80	1982	22488
81	2000	22399
82	2017	22295
83	2035	22197
84	2056	22136
85	2072	22030
86	2094	21976
87	2110	21874
88	2128	21789
89	2145	21693
90	2170	21679
91	2201	21724
92	2216	21614
93	2231	21512
94	2247	21406
95	2279	21465
96	2299	21411
97	2317	21327
98	2334	21244
99	2352	21172
100	2382	21209
101	2413	21249
102	2440	21250
103	2460	21195
104	2492	21242
105	2510	21172
106	2527	21096
107	2544	21018
108	2579	21085
109	2595	21003
110	2610	20907
111	2625	20816
112	2640	20729
113	2656	20649
114	2687	20681
115	2708	20637
116	2728	20594
117	2750	20558
118	2771	20517
119	2796	20510
120	2819	20483
121	2838	20430
122	2862	20408
123	2884	20378
124	2904	20332
125	2923	20277
126	2940	20210
127	2958	20155
128	2977	20100
129	2994	20038
130	3011	19978
131	3030	19926
132	3048	19873
133	3069	19838
134	3087	19779
135	3103	19714
136	3121	19663
137	3140	19613
138	3156	19549
139	3202	19672
140	3217	19604
141	3233	19536
142	3251	19488
143	3270	19438
144	3288	19391
145	3317	19405
146	3348	19428
147	3363	19365
148	3380	19305
149	3394	19237
150	3413	19191
151	3447	19232
152	3466	19191
153	3484	19140
154	3500	19083
155	3530	19100
156	3561	19121
157	3577	19065
158	3607	19081
159	3622	19020
160	3654	19046
161	3673	19002
162	3690	18950
163	3709	18910
164	3729	18871
165	3747	18830
166	3764	18778
167	3784	18741
168	3801	18695
169	3818	18645
170	3836	18599
171	3853	18552
172	3871	18508
173	3889	18466
174	3907	18422
175	3925	18380
176	3946	18348
177	3966	18319
178	3986	18286
179	4005	18248
180	4022	18200
181	4039	18153
182	4057	18114
183	4078	18085
184	4097	18051
185	4115	18009
186	4141	18005
187	4172	18021
188	4203	18035
189	4218	17982
190	4234	17933
191	4253	17901
192	4271	17859
193	4289	17821
194	4331	17879
195	4377	17956
196	4408	17970
197	4425	17925
198	4442	17882
199	4462	17848
200	4479	17806
201	4497	17766
202	4515	17726
203	4546	17738
204	4577	17751
205	4608	17761
206	4639	17772
207	4671	17787
208	4689	17747
209	4705	17702
210	4724	17665
211	4740	17619
212	4756	17573
213	4775	17541
214	4792	17497
215	4808	17454
216	4826	17415
217	4845	17380
218	4861	17338
219	4885	17320
220	4904	17287
221	4923	17255
222	4943	17223
223	4962	17193
224	4981	17158
225	5000	17124
226	5016	17084
227	5037	17055
228	5058	17030
229	5077	16998
230	5097	16968
231	5127	16975
232	5158	16981
233	5204	17038
234	5236	17045
235	5254	17009
236	5271	16970
237	5291	16941
238	5317	16932
239	5348	16937
240	5379	16941
241	5396	16904
242	5442	16953
243	5476	16969
244	5496	16939
245	5513	16898
246	5530	16860
247	5549	16827
248	5580	16830
249	5595	16786
250	5610	16742
251	5626	16701
252	5673	16750
253	5692	16718
254	5708	16677
255	5723	16634
256	5739	16593
257	5756	16554
258	5773	16517
259	5790	16481
260	5807	16442
261	5823	16405
262	5840	16368
263	5858	16333
264	5876	16297
265	5897	16273
266	5918	16247
267	5936	16214
268	5956	16187
269	5977	16161
270	5996	16129
271	6015	16101
272	6035	16073
273	6055	16043
274	6077	16021
275	6097	15994
276	6115	15962
277	6154	15984
278	6185	15983
279	6216	15984
280	6247	15984
281	6262	15944
282	6278	15906
283	6296	15874
284	6313	15838
285	6328	15798
286	6352	15782
287	6383	15782
288	6414	15780
289	6429	15742
290	6460	15740
291	6476	15702
292	6493	15669
293	6510	15633
294	6530	15606
295	6547	15572
296	6565	15541
297	6596	15539
298	6642	15574
299	6658	15535
300	6679	15512
301	6697	15480
302	6713	15442
303	6728	15405
304	6744	15369
305	6761	15334
306	6778	15301
307	6797	15273
308	6815	15240
309	6833	15209
310	6851	15179
311	6870	15150
312	6889	15121
313	6908	15092
314	6926	15063
315	6945	15034
316	6965	15006
317	6982	14974
318	6999	14943
319	7018	14913
320	7035	14882
321	7054	14853
322	7075	14830
323	7095	14803
324	7114	14776
325	7154	14791
326	7185	14788
327	7216	14785
328	7246	14779
329	7263	14746
330	7281	14717
331	7299	14687
332	7319	14661
333	7337	14631
334	7372	14634
335	7399	14623
336	7430	14618
337	7446	14583
338	7477	14579
339	7495	14549
340	7513	14520
341	7530	14489
342	7549	14460
343	7566	14429
344	7584	14398
345	7616	14395
346	7646	14390
347	7664	14359
348	7679	14325
349	7699	14298
350	7716	14267
351	7733	14237
352	7751	14206
353	7769	14177
354	7788	14151
355	7807	14123
356	7827	14097
357	7843	14066
358	7862	14038
359	7881	14011
360	7901	13986
361	7920	13959
362	7939	13932
363	7957	13904
364	7976	13877
365	7994	13848
366	8012	13820
367	8033	13795
368	8051	13768
369	8069	13740
370	8090	13716
371	8107	13687
372	8127	13661
373	8170	13676
374	8202	13670
375	8232	13662
376	8280	13684
377	8302	13662
378	8321	13634
379	8336	13602
380	8367	13594
381	8382	13561
382	8398	13529
383	8429	13522
384	8460	13515
385	8476	13482
386	8496	13457
387	8514	13429
388	8531	13401
389	8549	13371
390	8567	13343
391	8598	13336
392	8614	13304
393	8634	13280
394	8651	13250
395	8670	13224
396	8710	13231
397	8728	13203
398	8745	13172
399	8762	13144
400	8780	13116
401	8826	13129
402	8842	13099
403	8873	13090
404	8903	13081
405	8920	13051
406	8936	13021
407	8953	12991
408	8969	12960
409	9010	12965
410	9041	12956
411	9056	12924
412	9086	12915
413	9105	12888
414	9121	12858
415	9137	12827
416	9152	12796
417	9175	12775
418	9206	12766
419	9237	12757
420	9284	12768
421	9320	12765
422	9337	12737
423	9353	12706
424	9368	12675
425	9389	12650
426	9435	12661
427	9466	12651
428	9498	12642
429	9534	12638
430	9551	12609
431	9568	12580
432	9585	12552
433	9619	12544
434	9636	12516
435	9652	12486
436	9670	12459
437	9688	12430
438	9704	12401
439	9721	12373
440	9740	12347
441	9757	12318
442	9774	12289
443	9790	12260
444	9810	12235
445	9827	12207
446	9847	12183
447	9866	12157
448	9885	12131
449	9902	12102
450	9920	12075
451	9943	12055
452	9962	12029
453	9981	12004
454	10001	11979
455	10020	11953
456	10039	11928
457	10059	11904
458	10076	11877
459	10107	11865
460	10144	11860
461	10163	11834
462	10180	11807
463	10198	11780
464	10225	11764
465	10256	11752
466	10288	11742
467	10333	11746
468	10351	11720
469	10370	11694
470	10388	11667
471	10405	11640
472	10422	11612
473	10438	11583
474	10469	11571
475	10515	11575
476	10546	11563
477	10566	11539
478	10583	11511
479	10599	11482
480	10615	11454
481	10655	11451
482	10670	11421
483	10687	11393
484	10704	11366
485	10722	11339
486	10752	11326
487	10771	11301
488	10788	11274
489	10805	11246
490	10834	11231
491	10865	11219
492	10896	11206
493	10927	11192
494	10958	11179
495	10973	11150
496	10992	11124
497	11010	11099
498	11027	11072
499	11045	11045
500	11065	11021
501	11095	11007
502	11127	10994
503	11158	10980
504	11207	10985
505	11227	10960
506	11246	10935
507	11263	10909
508	11297	10897
509	11342	10897
510	11374	10884
511	11422	10887
512	11441	10861
513	11460	10835
514	11477	10808
515	11496	10783
516	11525	10767
517	11556	10753
518	11572	10724
519	11603	10710
520	11620	10684
521	11640	10659
522	11658	10633
523	11675	10606
524	11692	10578
525	11709	10551
526	11726	10524
527	11743	10497
528	11762	10473
529	11779	10445
530	11796	10418
531	11813	10392
532	11831	10366
533	11851	10342
534	11870	10317
535	11887	10290
536	11904	10264
537	11923	10239
538	11940	10212
539	11958	10186
540	11974	10159
541	11992	10133
542	12010	10107
543	12028	10083
544	12046	10057
545	12065	10032
546	12084	10007
547	12115	9993
548	12146	9978
549	12177	9963
550	12227	9963
551	12245	9938
552	12262	9912
553	12279	9886
554	12299	9861
555	12329	9846
556	12345	9818
557	12376	9803
558	12407	9788
559	12422	9760
560	12441	9735
561	12460	9711
562	12478	9685
563	12495	9659
564	12511	9633
565	12542	9617
566	12573	9602
567	12591	9576
568	12608	9550
569	12624	9524
570	12641	9497
571	12657	9471
572	12675	9445
573	12705	9429
574	12736	9414
575	12767	9398
576	12785	9373
577	12806	9349
578	12823	9323
579	12839	9297
580	12872	9283
581	12903	9267
582	12934	9251
583	12965	9236
584	12996	9219
585	13029	9204
586	13048	9180
587	13065	9154
588	13083	9129
589	13103	9106
590	13119	9079
591	13134	9052
592	13181	9046
593	13196	9019
594	13227	9003
595	13244	8978
596	13263	8953
597	13278	8926
598	13297	8901
599	13318	8878
600	13337	8854
601	13354	8829
602	13383	8811
603	13413	8794
604	13429	8767
605	13444	8741
606	13464	8717
607	13481	8692
608	13499	8666
609	13515	8641
610	13562	8634
611	13578	8608
